dataset_name,file_name,rows,columns,duplicate_rows,missing_identifier_values,duplicate_identifier_values,total_missing_values,missing_percentage,memory_usage_bytes
demographics,P_DEMO.xpt,15560,29,0,0,0,81161,17.99,3610052
body_measures,P_BMX.xpt,14300,22,0,0,0,175445,55.77,2516932
smoking,P_SMQ.xpt,11137,16,0,0,0,120929,67.86,1425668
diabetes,P_DIQ.xpt,14986,28,0,0,0,338049,80.56,3356996
