v190,Total_Children,Stunted_Children,Stunting_Prevalence
middle,2512,911,36.26592356687898
poorer,2272,1069,47.05105633802817
poorest,2241,1232,54.975457385095936
richer,2407,593,24.636476942251765
richest,1932,304,15.734989648033126
